symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
BNB/USDT:USDT,15m,is,short,1920,1.0,0.41363063575903314,1.0,1.0,0.0,34.0,28.0,42.0,14.0,0,,,,,,
BNB/USDT:USDT,15m,oos_warm,long,1017,0.9931170108161259,0.3673869983846855,0.9941060903732809,0.9921259842519685,-0.001980106121312386,31.0,25.0,40.0,15.0,7,0.0,2.4233797698364468,0.33698630136986485,0.5714285714285714,0.9536001059094534,0.8311744573694816
BNB/USDT:USDT,15m,oos_warm,short,976,0.9672131147540983,0.37556934222069294,0.9774590163934426,0.9569672131147541,-0.020491803278688492,33.0,27.5,39.0,11.5,32,0.0,15.208329002664062,0.37768769844342753,1.0,1.5,1.397056317654599
XRP/USDT:USDT,15m,full,long,2874,0.9895615866388309,0.3848150449205226,0.9923451635351427,0.9867780097425192,-0.005567153792623514,26.0,21.0,35.0,14.0,30,0.0,127.89871125043531,0.3435670261941437,1.0,1.5,1.4231695053823252
XRP/USDT:USDT,15m,full,short,2860,0.986013986013986,0.38923386098320223,0.986013986013986,0.986013986013986,0.0,35.0,26.0,48.0,22.0,40,0.0,21.35434511434513,0.36704308664381297,1.0,1.5,1.4082560712619259
XRP/USDT:USDT,15m,is,long,1929,0.9937791601866252,0.3794802221534188,0.9968911917098445,0.9906639004149378,-0.006227291294906734,24.0,18.0,32.0,14.0,12,0.0,226.91438356164355,0.45596384747328034,1.0,1.5,1.4403840877177194
XRP/USDT:USDT,15m,is,short,1852,1.0,0.4107333108186341,1.0,1.0,0.0,36.5,26.5,50.0,23.5,0,,,,,,
XRP/USDT:USDT,15m,oos_warm,long,945,0.9809523809523809,0.39054653303678033,0.9830866807610994,0.9788135593220338,-0.0042731214390655525,32.0,24.0,41.0,17.0,18,0.0,47.9120823016222,0.21777152641878622,1.0,1.5,1.4116931171587292
XRP/USDT:USDT,15m,oos_warm,short,1008,0.9603174603174603,0.35263072071518026,0.9642857142857143,0.9563492063492064,-0.007936507936507908,32.0,27.0,39.5,12.5,40,0.0,21.35434511434513,0.36704308664381297,1.0,1.5,1.4082560712619259
TRX/USDT:USDT,15m,full,long,3000,0.9646666666666667,0.34435814046854357,0.9653333333333334,0.964,-0.0013333333333334085,31.0,27.0,37.0,10.0,106,0.0,251.9369854721566,0.26417004048584,0.9905660377358491,1.4959119496855346,1.2677616713288329
TRX/USDT:USDT,15m,full,short,2658,0.9962377727614747,0.4096691826384037,0.9954853273137697,0.9969902182091799,0.0015048908954101714,35.0,27.0,48.0,21.0,10,0.0,10.442120997813944,0.22409327359438241,1.0,1.5,1.2560938023014194
TRX/USDT:USDT,15m,is,long,1978,0.9762386248736097,0.34547272312969757,0.974721941354904,0.9777553083923155,0.0030333670374115274,29.0,25.0,33.0,8.0,47,0.0,438.8421052631582,0.2921348314606733,1.0,1.5,1.3195675348494398
